pin,office_name,district_id,state_id,district_name,state_name,delivery_status,division,region,circle
231302,Bhaipur Kala B.O,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231301,Hussainpur BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231301,Kudaran B.O,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231212,Lilasikala BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231212,Mahuaria BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231212,Sagobandh BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231212,Jamapani B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231223,Jarhan BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231223,Dumarhar B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231223,Hathiyar B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231223,Leela Deva B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231223,Shish Tola B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231303,Kushhan BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231205,Kanachh BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231205,Kudari BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231205,Patwadh B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Bharpura BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Chunar Rly Station BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Gangpur BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Kandawa BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Khanjadipur BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Raipuria BO,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Belwan B.O,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Bahera  B.O.,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Pachokhar B.O,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231304,Basaratpur B.O,UP-Mirzapur,UP,Mirzapur,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231207,Kota BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231207,Basudha  B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231207,Bhaksihwa B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231208,Ekdari BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231208,Gadia BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231208,Rajkhad BO,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
274807,Babhani BO,UP-Deoria,UP,Deoria,Uttar Pradesh,Delivery,Deoria Division,Gorakhpur Region,Uttar Pradesh Circle
231208,Baliyari B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231208,Chanaga B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
231208,Dhanaura B.O,UP-Sonbhadra,UP,Sonbhadra,Uttar Pradesh,Delivery,Mirzapur Division,Prayagraj Regional Office,Uttar Pradesh Circle
